fixture_id,season,date,home_team,away_team,referee,category,home_value,away_value
1575145,2026,2026-08-30,SC Freiburg,Werder Bremen,"Daniel Siebert, Germany",yellow_cards,1.0,1.0
1575141,2026,2026-08-30,FC Augsburg,FC Schalke 04,"Sascha Stegemann, Germany",shots,24.0,11.0
1575141,2026,2026-08-30,FC Augsburg,FC Schalke 04,"Sascha Stegemann, Germany",shots_on_target,13.0,5.0
1575141,2026,2026-08-30,FC Augsburg,FC Schalke 04,"Sascha Stegemann, Germany",fouls,5.0,6.0
1575141,2026,2026-08-30,FC Augsburg,FC Schalke 04,"Sascha Stegemann, Germany",corners,11.0,3.0
1575141,2026,2026-08-30,FC Augsburg,FC Schalke 04,"Sascha Stegemann, Germany",offside,3.0,2.0
1575141,2026,2026-08-30,FC Augsburg,FC Schalke 04,"Sascha Stegemann, Germany",yellow_cards,1.0,0.0
1575149,2026,2026-09-04,VfB Stuttgart,1. FC Köln,"Christian Dingert, Germany",shots,22.0,17.0
1575149,2026,2026-09-04,VfB Stuttgart,1. FC Köln,"Christian Dingert, Germany",shots_on_target,8.0,3.0
1575149,2026,2026-09-04,VfB Stuttgart,1. FC Köln,"Christian Dingert, Germany",fouls,5.0,6.0
1575149,2026,2026-09-04,VfB Stuttgart,1. FC Köln,"Christian Dingert, Germany",corners,10.0,8.0
1575149,2026,2026-09-04,VfB Stuttgart,1. FC Köln,"Christian Dingert, Germany",offside,1.0,0.0
1575149,2026,2026-09-04,VfB Stuttgart,1. FC Köln,"Christian Dingert, Germany",yellow_cards,1.0,3.0
1575155,2026,2026-09-05,Werder Bremen,RB Leipzig,"Benjamin Brand, Germany",shots,12.0,19.0
1575155,2026,2026-09-05,Werder Bremen,RB Leipzig,"Benjamin Brand, Germany",shots_on_target,7.0,5.0
1575155,2026,2026-09-05,Werder Bremen,RB Leipzig,"Benjamin Brand, Germany",fouls,13.0,8.0
1575155,2026,2026-09-05,Werder Bremen,RB Leipzig,"Benjamin Brand, Germany",corners,2.0,7.0
1575155,2026,2026-09-05,Werder Bremen,RB Leipzig,"Benjamin Brand, Germany",offside,4.0,1.0
1575155,2026,2026-09-05,Werder Bremen,RB Leipzig,"Benjamin Brand, Germany",yellow_cards,1.0,0.0
1575153,2026,2026-09-05,Borussia Mönchengladbach,SV Elversberg,"Martin Petersen, Germany",shots,25.0,14.0
1575153,2026,2026-09-05,Borussia Mönchengladbach,SV Elversberg,"Martin Petersen, Germany",shots_on_target,6.0,10.0
1575153,2026,2026-09-05,Borussia Mönchengladbach,SV Elversberg,"Martin Petersen, Germany",fouls,18.0,9.0
1575153,2026,2026-09-05,Borussia Mönchengladbach,SV Elversberg,"Martin Petersen, Germany",corners,13.0,4.0
